Comment,topic_1final,topic_2final,topic_2nd_ratio,sentiment_1final,sentiment_2final
Better communication from management and human resources. Calling employees back when they leave messages.,Communication/Support,Management Reliability/Integrity,0.0010511048642399348,Negative,Positive
"the fact that it is a transition place, it lives up to its name",Inspiring Work/Place,No answer/Nothing,0.11014647786963412,Positive,Negative
Please allow department manager to manage budget so we can better serve our residents.,Management Reliability/Integrity,Communication/Support,0.006244192597210553,Negative,Positive
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Better communication between departments would be nice.   if we all communicate clearly with each other things would run more smoothly.,Communication/Support,Co-Workers/Teamwork,0.0008597285098312548,Negative,Positive
Maybe to help further someones education that intends to be with the company.,Learning & Development,Incentives/Growth,0.006487381818841811,Negative,Positive
Nothing needs changed,No answer/Nothing,Inspiring Work/Place,0.0002529474978991685,Nothing,Negative
salary,Incentives/Growth,Inspiring Work/Place,0.001872725226674428,Negative,Positive
Management is very kind,Management Reliability/Integrity,Co-Workers/Teamwork,0.0011782049372466715,Positive,Negative
I believe this company walks the talk.  I am proud of this company and the people that manage us.,Management Reliability/Integrity,Inspiring Work/Place,0.023709562175460004,Positive,Negative
Have a nurse who cares about the people and wants to help. ,Co-Workers/Teamwork,Inspiring Work/Place,0.07695289507751822,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Management needs to work on communication and better recognition for people other than management.,Management Reliability/Integrity,Communication/Support,0.00611511774610194,Negative,Positive
"Our organization takes exceptional care of our residents, guests and families as well as our associates.  I appreciate the core values and the Christian atmosphere which truly make our organization a great place to work.  I know that I am making a difference in our elders lives everyday which makes my work very fullfilling.   ",Inspiring Work/Place,Management Reliability/Integrity,0.005641620495399778,Positive,Negative
More staffing on the floors,Staffing and Scheduling,Co-Workers/Teamwork,0.0015900226838852808,Negative,Positive
"To have milage reimbursement even on the weekends, and to have a higher rate of reimbursement for weekend visits.  ",Benefits,Balancing Personal/Productivity,0.005603138128732625,Negative,Positive
It's a family owned and run business. I feel like I'm part of a team/family.  ,Co-Workers/Teamwork,Management Reliability/Integrity,0.06793156994428143,Positive,Negative
Competent ,Co-Workers/Teamwork,Management Reliability/Integrity,0.09406990382226288,Positive,Negative
ir is a great place to work because the people are very nice n accomodating especially the office people.management are very approachable and easy to talk too.,Co-Workers/Teamwork,Inspiring Work/Place,0.0025972720583619813,Positive,Negative
The residents,Inspiring Work/Place,Co-Workers/Teamwork,0.0014551339046451615,Positive,Negative
"Communication - there is hardly any type of communication among management, and hardly any communication from management to their workers. ",Communication/Support,Management Reliability/Integrity,0.0006793498444725105,Negative,Positive
"Family Oriented!!! Allows staff to have ideas and listens to the best opportunities for all. I love working for this company, the best I have worked for in my career.",Co-Workers/Teamwork,Communication/Support,0.03980501803501018,Positive,Negative
Friendliness,Co-Workers/Teamwork,Inspiring Work/Place,0.004508472712243965,Positive,Negative
"I have the opportunity of working w/ the residents directly as a fitness specialist w/ a free hand in what I do w/ them.  Over time, I then get to see their progress and hear from them or their significant other how their quality of life has improved as a result of my efforts w/ them in their fitness.  ",Inspiring Work/Place,Incentives/Growth,0.001709780747329179,Positive,Negative
Meaningful work.  Our residents are great to work with>,Inspiring Work/Place,Co-Workers/Teamwork,0.0011294725904818525,Positive,Negative
More communication between field workers and care team.,Communication/Support,Co-Workers/Teamwork,0.000565048540290419,Negative,Positive
Should have good benefit package for the full time employees. increase PTO to 200 for a year and insure the employees with life insurance incase of anything to be in a safe place because the employees deal with a lot of memory care residents.,Benefits,Incentives/Growth,0.0016827208656783178,Negative,Positive
"I would change the interior design. It looks very old. Brighten it up a little. Maybe put a few pictures up, and match the wall paper with the carpet. ",Other,Inspiring Work/Place,0.01648281060352732,Negative,Positive
Teamwork from all departments and department heads when one area is behind or lacking the staff to do so.,Co-Workers/Teamwork,Communication/Support,0.0014418752008811004,Negative,Positive
"Perhaps, upper management could more carefully consider the recommendations of mid managers, in relation to the salaries of valued full time employees. ",Management Reliability/Integrity,Communication/Support,0.029234943510073275,Negative,Positive
Nothing ,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"I would like to see the main director give more acknowledgement to ALL shifts, taking the time to know who is working for them, when something needs done to communicate directly with the persons on that shift and also to acknowledge the amount of work ethic that is shown by having 3 positions mixed into one. We are not only caregivers but we also are responsible for housekeeping, laundry and dining/dietary duties as well. I think that is not thought of enough on how much work employees put into their positions.",Management Reliability/Integrity,Communication/Support,0.024215797942335214,Negative,Positive
Long term employees in my opinion are not stagnate or set in their ways. I also believe that the CEO is accessible and relatable.  The mixture of generations is also impressive and should continue to be  embraced and encouraged. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.059562439730578565,Positive,Negative
cost of living raise,Incentives/Growth,Benefits,0.018413027455059478,Negative,Positive
care,Inspiring Work/Place,Co-Workers/Teamwork,0.060897204389247415,Positive,Negative
I love we can pray BEFORE each meeting,Co-Workers/Teamwork,Communication/Support,0.059619313337220536,Positive,Negative
Integrity does a very good job with working around my schedule and anything that comes up.,Co-Workers/Teamwork,Staffing and Scheduling,0.05967332628393119,Positive,Negative
Better salary and benefits,Incentives/Growth,Benefits,0.0063017951318523075,Negative,Positive
no suggestions at this time,No answer/Nothing,Inspiring Work/Place,0.00023469275998673776,Nothing,Negative
Faith Based. Able to participate in corporate prayer at appropriate times.   ,Co-Workers/Teamwork,Inspiring Work/Place,0.03760632741850574,Positive,Negative
More support from the Home Office would be a welcome change in the corporate structure. Perhaps an expansion of the team or a liaison for each facility would smooth out some of the administrative and communication wrinkles. I would also like to see more oversight and accountability of the Executive Directors by the Home Office instead of the blind faith currently shown.,Management Reliability/Integrity,Communication/Support,0.042985582084688244,Negative,Positive
when I first started here years ago it seemed more like one big family than a work place there were MORE team players who went above and beyond their job title to help the residents as well as their co workers there needs to be improvement in this area because all businesses workplaces etc are only as good as the people who work there!!!!!!!! happy employees = happy residents= SUCCESS!!!!!!!! I have always kept my eyes and heart on our residents so ive been very happy to know I get to make a difference everyday!!!!!!! IM ONLY SHAREING THIS AS A MEANS FOR LEARNING AS WELL AS A BETTER LIFE FOR OUR RESINTS WHO ARE WHY I COME TO WORK EVERYDAY!!!!!!! IM ROXANNE OMALLEY FROM ACTIVITIES DEPT,Inspiring Work/Place,Co-Workers/Teamwork,0.003105713169886064,Negative,Positive
I like the co workers that I work with and I love the residents.  It is nice to come to work here.  Mostly everyone tries their best to do what is best for the residents.  ,Inspiring Work/Place,Co-Workers/Teamwork,0.0027146811574894287,Positive,Negative
For them to let you know or remind you when your license need to be renewed ,Communication/Support,Supplies/Systems,0.1321067246930952,Negative,Positive
No,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
Less driving,Benefits,Inspiring Work/Place,0.13979731257514805,Negative,Positive
more pay we are taking in more high demand patients or more staff ,Incentives/Growth,Inspiring Work/Place,0.0018376192394732047,Negative,Positive
Great - and fun - team ,Co-Workers/Teamwork,Inspiring Work/Place,0.001642447584799348,Positive,Negative
Would like to see better pay. There are good employees that leave our company to work for competitors because of pay. Would like to see more things done for employee retention. ,Incentives/Growth,Inspiring Work/Place,0.0018779512325971302,Negative,Positive
Every Co-workers main goal is to serve our Residents. Our Residents are the reason we work here!,Inspiring Work/Place,Co-Workers/Teamwork,0.004447623756455708,Positive,Negative
Work as a team,Co-Workers/Teamwork,Inspiring Work/Place,0.001362516692257747,Positive,Negative
Schedule flexability.,Staffing and Scheduling,Balancing Personal/Productivity,0.006759719784095404,Negative,Positive
"It is special to be able to work in an environment that still affirms Christian beliefs and ethics. I hope we never lose or diminish this identity of our ""personality"" in caring for our residents and team.",Inspiring Work/Place,Co-Workers/Teamwork,0.002805628447266074,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Increase the income for caregivers.,Incentives/Growth,Benefits,0.015074338424447203,Negative,Positive
Institute a 401K program,Benefits,Incentives/Growth,0.0010206650706408834,Negative,Positive
Pay more hourly and/or increase staffing on busy shifts. Sometimes that 1 person makes a difference in okay care and excellent care. A housekeeper would be nice as well so caregivers can devote time to the residents. ,Incentives/Growth,Staffing and Scheduling,0.080876096093418,Negative,Positive
higher pay rate,Incentives/Growth,Inspiring Work/Place,0.0016356532118211365,Negative,Positive
Staffing increase,Staffing and Scheduling,Balancing Personal/Productivity,0.0030263702892948064,Negative,Positive
communication,Communication/Support,Co-Workers/Teamwork,0.0007044661993200155,Negative,Positive
This facility needs linens to complete all shifts. There is just not enough for the whole building.,Supplies/Systems,Inspiring Work/Place,0.22134972408362566,Negative,Positive
"Overall, this is a great place to work I can't think of something to change that would make it a better place to work besides getting paid based of experience level, versus starting from the bottom.",Incentives/Growth,Inspiring Work/Place,0.007580386543978733,Negative,Positive
"Better compensation. Increase access to continuing education, specialization incentives",Incentives/Growth,Benefits,0.00586220119913347,Negative,Positive
Managers / supervisors from other departments that work somewhere closely to those in Dining ensure that their employees are doing their job when it needs to be done so that it doesn't poorly impact the time-frame that DA's have to follow by. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.004253901738559084,Negative,Positive
There is only one thing I would change is to be able to see your check stub on pay week before pay day.,Benefits,Incentives/Growth,0.014987704668235258,Negative,Positive
Respect for residents and employees ,Inspiring Work/Place,Management Reliability/Integrity,0.014617386046432184,Positive,Negative
Family oriented,Co-Workers/Teamwork,Inspiring Work/Place,0.013456626778647942,Positive,Negative
"I cannot think of anything at this time.  I am pleased, overall, with how I am treated, valued, and paid.",Incentives/Growth,No answer/Nothing,0.028383276572830126,Positive,Negative
Decision making should involve opinions of the employees.,Communication/Support,Management Reliability/Integrity,0.048560116763906216,Negative,Positive
Todo esta vien,No answer/Nothing,Inspiring Work/Place,0.0009286568157324149,Nothing,Negative
We are moving so quickly that we sometimes need to remember to step back and ask if we are still moving in the direction of being a new kind of Senior Living company.  It is easy for the day to day priorities to take our eye off the goal.  The good news is that people recognize the challenge.,Inspiring Work/Place,Management Reliability/Integrity,0.06695461513176787,Positive,Negative
I wouldnâ€™t change anything so far,No answer/Nothing,Inspiring Work/Place,0.00016941738580307042,Nothing,Negative
Higher wages that are commensurate with the expectations for output of the position. ,Incentives/Growth,Inspiring Work/Place,0.0013941821232259862,Negative,Positive
Explore expanding benefits package to include paid short term disability and pensions. ,Benefits,Incentives/Growth,0.001077402046828567,Negative,Positive
This survey asks many self identifying questions. It's hard to have confidence that my anonymity will be protected.,Communication/Support,No answer/Nothing,0.06508483169465981,Positive,Negative
"When there is conflict between co-worker
Its needs to be handled while both parties involved",Co-Workers/Teamwork,Communication/Support,0.14464208152757332,Negative,Positive
Employees don't get anual raises,Incentives/Growth,Benefits,0.004382972663476326,Negative,Positive
Nothing ,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Respect for all woekers,Co-Workers/Teamwork,Appreciation/Recognition,0.06014343442189016,Negative,Positive
More team work between employees we can always make our selves better no matter how great a company may be . ,Co-Workers/Teamwork,Communication/Support,0.000839699452687783,Negative,Positive
morestaff,Staffing and Scheduling,Co-Workers/Teamwork,0.008037174252011272,Negative,Positive
"If I could change one thing, it would be for there to be better communication between administration and co-workers.  Too many times information is not shared in a timely manner, if at all.  Feeling like you are totally left out the loop is not helpful in creating a pleasant work atmosphere.",Communication/Support,Management Reliability/Integrity,0.0012219188508085148,Negative,Positive
People are very accepting. I always look forward to coming to work (unless I'm ill).,Co-Workers/Teamwork,Inspiring Work/Place,0.002706081138140856,Positive,Negative
The only thing I think would improve Integrity would be if we were offered nap time! Haha.,Balancing Personal/Productivity,Benefits,0.12660421070558311,Negative,Positive
flexibility,Staffing and Scheduling,Co-Workers/Teamwork,0.005556202805404031,Positive,Negative
It's more than a job. It's a ministry in the way that we are able to carry out our mission in the daily services we provide.,Inspiring Work/Place,No answer/Nothing,0.043127821168662955,Positive,Negative
Provide free 1:1 day of move in and for a few hours throughout 1st week.,Benefits,Staffing and Scheduling,0.07890151680001466,Negative,Positive
Respected and fun to be here,Appreciation/Recognition,Co-Workers/Teamwork,0.07863142544418043,Positive,Negative
"Nicer management.
",Management Reliability/Integrity,Co-Workers/Teamwork,0.0011963069763215796,Negative,Positive
It's all about the people I work with.,Co-Workers/Teamwork,Inspiring Work/Place,0.0026378505571221593,Positive,Negative
I think we need more training (hands on) for personal care,Learning & Development,Communication/Support,0.003981767477722679,Negative,Positive
People ,Co-Workers/Teamwork,Inspiring Work/Place,0.0014178577885444437,Positive,Negative
"when we have at least 4 admits or even more, making sure weâ€™re adequately staffed",Staffing and Scheduling,Co-Workers/Teamwork,0.004112590600130499,Negative,Positive
Better insurance benefits and financial assistance with continuing education.,Benefits,Incentives/Growth,0.002212254057794581,Negative,Positive
Taking care of residents,Inspiring Work/Place,Management Reliability/Integrity,0.0019248189517737946,Positive,Negative
"We have a great team , thatâ€™s has a very big heart â¤ï¸ ",Co-Workers/Teamwork,Inspiring Work/Place,0.0012816202856548106,Positive,Negative
They compliment their employees often and everyone greets each other in the hallways with a Good Morning and a smile.,Appreciation/Recognition,Co-Workers/Teamwork,0.07670062332570395,Positive,Negative
salaries   for example when marketing and the executive director receive  bonus but coworkers do not get a part of that bonus I think that's unfair,Benefits,Incentives/Growth,0.010959427257374019,Negative,Positive
"Family environment from staff to residents is truly the key in making this place great. Although we are coming to work, and earning income, it goes far beyond that, and this is our home away from home. Most of us come to work because we WANT to be here, and not just because there are bills to pay.  The employment specialists do an awesome job of finding those people.",Inspiring Work/Place,Co-Workers/Teamwork,0.0030266323180819714,Positive,Negative
 I wouldn't change a thing!,No answer/Nothing,Inspiring Work/Place,0.00020403742642093826,Nothing,Negative
"More help in the kitchen.  Possibly 2 part-time dishwasher/prep cooks.  A great entry level job for a high school or college student.  This would enable me to concentrate/develop culinary practices that would provide better tasting meals.  So busy cleaning pots and pans in between meals by myself...there is minimal time at best to really focus on better ways to prepare and turn out more flavorful food.  I attended Johnson and Wales Culinary school and have a B.S. in Accounting, and feel we could benefit by cooking from scratch more instead of packaged/precooked foods.  The food would taste much better and would probably be more cost efficient.  However, we do not have the personnel nor the time to devote to the true art of culinary creativity. Having said that I am very grateful for my job and the opportunity to serve this facilities residents and staff.  The Food Services Director does wash pots and pans and cooks too.  She is very overworked.  Lastly.  Here in the south we eat certain foods like Hoppin' John (Rice w/black eyed peas) and Corn Pudding...and our menu is so boring.  The residents eat the same soups, vegetables and meats just about every other day.  Why can't the corporate menu allow for local cuisine to be incorporate into the menu for the locations of their facilities?  People in the midwest do not have the same cuisines as here in the south.  Since many of our residents are from here they would enjoy local dishes more.",Staffing and Scheduling,Co-Workers/Teamwork,0.009163641653800255,Negative,Positive
We can always use more storage space for materials and activity items.,Supplies/Systems,Benefits,0.3108594446062259,Negative,Positive
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
open up to all concerns  because the CNA and  NURSES are on the floor and are very close to the residents,Inspiring Work/Place,Communication/Support,0.10253801089597968,Positive,Negative
none,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Parking for employees. ,Benefits,Inspiring Work/Place,0.004144427104233675,Negative,Positive
"We preach ""teamwork"" however many/if not most of the managers do not epitomize this motto. If a resident needs help a manager should be able to help them. When a nurse aide/nurse brings an issue to light they should not be looked at as being negative, but instead looked at as trying to improve the facility especially if they have a solution in hand. They're advocates for the residents and should not be looked down upon when serious issues are brought to light because it's a hindrance. Basic nursing 101 should be addressed by the HSD such as having a community razor. That is infection control and someone in charge should address these issues instead of brushing them off when brought to light. ",Management Reliability/Integrity,Co-Workers/Teamwork,0.07042509020826357,Negative,Positive
the company is very supportive ,Management Reliability/Integrity,Communication/Support,0.013763610755232311,Positive,Negative
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
Its an embarrassment to work here.,No answer/Nothing,Inspiring Work/Place,0.03743993339088072,Negative,Positive
Nothing. It's a great place when I started and remind a good place to work.,No answer/Nothing,Inspiring Work/Place,0.0004543536087883927,Nothing,Negative
"I really wish there was tuition reimbursement opportunities for those staff members who are not directly in the medical field. The program offerings for those interested in their LPN/RN are great! The gerontology program is really valuable, too. However, neither of them are of great benefit to those who may already have furthered their education or who aren't looking to be directly care related. I would love to continue my education in relation to the business side of things, but CM doesn't offer anything to assist with that. ",Benefits,Incentives/Growth,0.008608403422697027,Negative,Positive
Less favoritism/more positivity,Management Reliability/Integrity,Co-Workers/Teamwork,0.040851417969674404,Negative,Positive
Workung with the residents.,Inspiring Work/Place,Co-Workers/Teamwork,0.0010041789112503765,Positive,Negative
"Attention to easy minor details which would amplify the overall experience for the residents. 
",Inspiring Work/Place,Co-Workers/Teamwork,0.004975522125369373,Negative,Positive
Family ,Co-Workers/Teamwork,Inspiring Work/Place,0.0050703550515008465,Positive,Negative
Everyone has been friendly from the first day I started.They have made me feel welcome and part of a work family. 2-3 weeks working here I was approached by the Regional Manager to take a supervisory position part-time due to hearing about my experience.,Co-Workers/Teamwork,Inspiring Work/Place,0.004710265608884529,Positive,Negative
"When can we get HD TV service?  TV is a very important & relevant part of day to day living, and since resident satisfaction is ""what we sell"", this issue needs to be addressed.  As long as the residents are satisfied & happy, this is the best place to work & the best company to work for!",Inspiring Work/Place,Supplies/Systems,0.040475610789345924,Negative,Positive
"My manager Jessie is wonderful, I love how he makes everything works. He's very understanding and helpful, and it's not about him being nice. He does his job very well and i'm glad to say I have him as a manager wouldn't want no one different.",Management Reliability/Integrity,Co-Workers/Teamwork,0.001955703742884326,Positive,Negative
"More PTO time. If you have to use days for bereavement, jury duty, and ill days in one year, it doesn't give you much time remaining to take a little time for yourself.  I have children out of state and seldom get to visit due to limited time allotted for vacation.",Balancing Personal/Productivity,Staffing and Scheduling,0.025001661631969083,Negative,Positive
There is a lot of pressure to meet deadlines with a very small team and very little room for any errors.,Co-Workers/Teamwork,Management Reliability/Integrity,0.14956465963003096,Negative,Positive
Everyone is so nice and kind. Almost always a positive environment no matter what.,Co-Workers/Teamwork,Inspiring Work/Place,0.0032076789145015256,Positive,Negative
The favoritism between managers and co workers.,Management Reliability/Integrity,Co-Workers/Teamwork,0.005638294101860695,Negative,Positive
mOST OF THE NURSES ARE GOOD TO WORK WITH,Co-Workers/Teamwork,Inspiring Work/Place,0.0016276924709529288,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
 Better communication between department heads to working staff outside of meetings. ,Communication/Support,Management Reliability/Integrity,0.0006950500945048627,Negative,Positive
I wish that our nursing staff would be more cooperative and not give us an attitude when asked to do something.  I wish we had enough safe wheelchairs with working wheels and brakes for all of our patients.  I wish our tablets were more reliable.  I wish it didnâ€™t take me 5-10 minutes just to clock in every day.  I wish we had a real lunch break.  I wish we had more AE to use with our patients .  I wish we had a working stapler and enough supplies.  ,Co-Workers/Teamwork,Inspiring Work/Place,0.02442031507688003,Negative,Positive
No,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
Hiring people that are already train in caregiving and not ones that have no experience what so ever. ,Staffing and Scheduling,Co-Workers/Teamwork,0.013321994136803312,Negative,Positive
Our residents are the best part of my job.,Inspiring Work/Place,Co-Workers/Teamwork,0.0009498569664665369,Positive,Negative
The atmosphere is pleasant.,Co-Workers/Teamwork,Inspiring Work/Place,0.0037615908468629756,Positive,Negative
Management and the bullying. ,Management Reliability/Integrity,Co-Workers/Teamwork,0.0024397561288843714,Negative,Positive
You can be yourself. No pressure. Can work in freedom for the success of the company,Co-Workers/Teamwork,Communication/Support,0.1457682244060625,Positive,Negative
RSD is unfair and unprofessional and doesn't talk to staff appropriately,Management Reliability/Integrity,Co-Workers/Teamwork,0.18779546853824736,Negative,Positive
"There is an open door policy that the managers have that makes you feel comfortable to talk to them about any situation you have going on, whether it be personal or related to the job. The staff here become your family without judgement and they are always willing to help out with anything to helps you exceed at your job.",Management Reliability/Integrity,Communication/Support,0.07088732972266945,Positive,Negative
Thay needs to at for sick days an vacation when you want vacation pay not because you have 40 hours they need to pay vacation days when you want them not what they want,Benefits,Incentives/Growth,0.0826721017103233,Negative,Positive
Have more PRN therapists available so I can be more supportive with my family if an unplanned event happens such as a sick child or ill parent.,Staffing and Scheduling,Co-Workers/Teamwork,0.1106236305353915,Negative,Positive
You're going to have bad days but the good days definitely outweigh those. The staff is super friendly and always willing to help you accomplish anything.,Co-Workers/Teamwork,Inspiring Work/Place,0.0020160371933792896,Positive,Negative
Time in half after 8 hours not 80 hours,Staffing and Scheduling,Balancing Personal/Productivity,0.014665419654531591,Negative,Positive
"We have an unusually friendly, competent, caring HR team. I genuinely believe HR looks out for employee well-being. ",Co-Workers/Teamwork,Management Reliability/Integrity,0.005076716634285256,Positive,Negative
"























nothing",No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
management,Management Reliability/Integrity,Co-Workers/Teamwork,0.0009427280922167855,Negative,Positive
Everyone is treated fairly,Co-Workers/Teamwork,Management Reliability/Integrity,0.027935465171227872,Positive,Negative
Summary of work to do and plan from management down with extensive new programs coming and work overload.,Management Reliability/Integrity,Communication/Support,0.015450792202776802,Negative,Positive
I love how family oriented they are. Understanding that their employees have families or others they may take care of too.,Co-Workers/Teamwork,Management Reliability/Integrity,0.08059852523838029,Positive,Negative
We treat our residents like family and it's a family-oriented facility,Inspiring Work/Place,Co-Workers/Teamwork,0.0033337981368656874,Positive,Negative
None ,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
They truly care for our residents well being,Inspiring Work/Place,Management Reliability/Integrity,0.009494908581630556,Positive,Negative
I don't feel I have been here long enough to make the call.,No answer/Nothing,Inspiring Work/Place,0.0015681837576169042,Nothing,Negative
Better pay & benefits,Incentives/Growth,Inspiring Work/Place,0.004554462025021408,Negative,Positive
Co-workers,Co-Workers/Teamwork,Inspiring Work/Place,0.0010978391383312431,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Higher increases for hourly people,Incentives/Growth,Inspiring Work/Place,0.007240051668865218,Negative,Positive
I can dictate my hours if need be.,Staffing and Scheduling,Balancing Personal/Productivity,0.004150391850274107,Positive,Negative
All the nice employees ,Co-Workers/Teamwork,Inspiring Work/Place,0.0024850444255436646,Positive,Negative
To be able to come in and create a community for people that have lived long and fruitful lives is very gratifying. To hear them say this is the best place they've ever lived is even more gratifying. They deserve the best in all aspects of their lives. ,Inspiring Work/Place,Co-Workers/Teamwork,0.006696689023615159,Positive,Negative
It's just great all around. The caliber of coworkers makes it somewhere you want to come to in the morning and also most importantly...the residents. Most of them really let you know they value what you do for them.,Inspiring Work/Place,Co-Workers/Teamwork,0.0058015133012038365,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
I honestly can not imagine anything that could make this employer more employee focused. They are fantastic.,Management Reliability/Integrity,Co-Workers/Teamwork,0.07558361210494625,Negative,Positive
"Residents are well cared , 
",Inspiring Work/Place,Co-Workers/Teamwork,0.002147847922830033,Positive,Negative
I've only been here a little over 3 months but haven't noticed anything I would change ,No answer/Nothing,Inspiring Work/Place,0.001252651624099254,Nothing,Negative
Not sure.,No answer/Nothing,Inspiring Work/Place,0.0001791362740267672,Nothing,Negative
Do not send messages through Telephony. This takes up time that could be spent with a client. Email would be best for these. ,Communication/Support,Supplies/Systems,0.0069038469678830705,Negative,Positive
I don't think I would change anything.,No answer/Nothing,Inspiring Work/Place,0.00023246117886626717,Nothing,Negative
Teamwork and support. Passion to provide the best care. ,Co-Workers/Teamwork,Inspiring Work/Place,0.006364325741466922,Positive,Negative
Benefits like Paid time off and pay levels based on care levels,Benefits,Incentives/Growth,0.006300783082349716,Negative,Positive
Would change a thing,No answer/Nothing,Inspiring Work/Place,0.0003880982104511836,Nothing,Negative
"The care from and support, And we have fun",Co-Workers/Teamwork,Inspiring Work/Place,0.056100549071457374,Positive,Negative
Benefits,Benefits,Incentives/Growth,0.000843181568093869,Positive,Negative
This company appreciates its coworkers. There are often prizes for employees who do a great job or go out of their way to help others/ residents. Everyone here is very kind and willing to help if need be. ,Appreciation/Recognition,Co-Workers/Teamwork,0.02486252032753192,Positive,Negative
"The love, respect and appreciation from the residents towards me. I feel they truly appreciate me. That's why this job is a blessing...not a chore!!",Inspiring Work/Place,Appreciation/Recognition,0.06003066302602967,Positive,Negative
we work as a team,Co-Workers/Teamwork,Inspiring Work/Place,0.0011498100468498131,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
"Honestly there is nothing. My nursing background is so different from Skilled/Long Term/Memory care and it has been an adjustment. It has been an emotional time to learn to care for the aging. Everyone has been so helpful, friendly, encouraging. I would just keep encouraging this kind of environment.",Inspiring Work/Place,Co-Workers/Teamwork,0.022449907816016662,Positive,Negative
Another company event to celebrate our hard working clinicians....maybe a summer picnic/BBQ?,Appreciation/Recognition,Co-Workers/Teamwork,0.024827318730681995,Negative,Positive
JEA cares about its families!,Management Reliability/Integrity,Co-Workers/Teamwork,0.07293409602688307,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Nothing,No answer/Nothing,Inspiring Work/Place,9.13251414270042e-05,Nothing,Negative
"That management should the time for all employees no matter what their job position is,and pay staff fairly for what they bring to the building.",Management Reliability/Integrity,Inspiring Work/Place,0.0015115311361980997,Negative,Positive
"For the individuals that do not utilize the health care benefits, there should be a quarterly ""bonus"" estimated based upon what the average cost of the insurance is for others.

Child care for the Home Office.",Benefits,Incentives/Growth,0.0019147983540155566,Negative,Positive
Given autonomy,Communication/Support,Management Reliability/Integrity,0.027005472932342997,Negative,Positive
"Working at a place that truly cares about our residents.
",Inspiring Work/Place,Management Reliability/Integrity,0.008917420283033812,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
It is a company started and run by therapist for therapists and values evidence and clinical outcomes to promote the field and remain on the forefront of innovation.,Inspiring Work/Place,Management Reliability/Integrity,0.01704942335184903,Positive,Negative
your birthday is considered a holiday,Benefits,Balancing Personal/Productivity,0.05083160249215442,Positive,Negative
No,No answer/Nothing,Inspiring Work/Place,0.00010874206932586781,Nothing,Negative
Maybe a bonus at the end of each year would be nice. ,Benefits,Incentives/Growth,0.005687841726993281,Negative,Positive
"i like cooking for the staff and rerdents,,      ,,  ",Inspiring Work/Place,Co-Workers/Teamwork,0.21668778533541386,Positive,Negative
"I can't say there is anything I personally feel I would change. That being said, Wesley is always working towards improving especially as healthcare, laws and people change and it shows. ",Inspiring Work/Place,No answer/Nothing,0.30716955112483474,Negative,Positive
More space in work environment (office),Benefits,Inspiring Work/Place,0.08472794356075866,Negative,Positive
"Always doing special things for the staff, they give raises every 90 days, pay is very good, constant thank yous",Incentives/Growth,Appreciation/Recognition,0.10537632601117962,Positive,Negative
The residents which I love and make sure they age with grace. ,Inspiring Work/Place,Co-Workers/Teamwork,0.0012440438623287865,Positive,Negative
Not enough training and guidance to assure policies are followed correctly. ,Learning & Development,Communication/Support,0.018642254517885475,Negative,Positive
very family oriented; give out benefits to anyone who works 52 hours in a pay period. flexible with schedules ,Benefits,Inspiring Work/Place,0.0077343749699961654,Positive,Negative
401K  better retirement oppertunities,Benefits,Incentives/Growth,0.000798388273574558,Negative,Positive
I like working there,No answer/Nothing,Co-Workers/Teamwork,0.052931151614223494,Positive,Nothing
Our call system and the devices we communicate with! ,Communication/Support,Supplies/Systems,0.03869021639146332,Positive,Negative
None,No answer/Nothing,Inspiring Work/Place,9.33272183903864e-05,Nothing,Negative
Everybody to get insurance equal,Benefits,Incentives/Growth,0.0017735878512058264,Negative,Positive
